IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
60.249.89.74,23555,true,KHH,Asia Pacific,Kaohsiung City,88 ms,23422 kB/s
47.238.35.50,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,22383 kB/s
47.75.101.0,3443,true,HKG,Asia Pacific,Hong Kong,64 ms,21318 kB/s
47.57.14.238,4328,true,HKG,Asia Pacific,Hong Kong,63 ms,19182 kB/s
35.229.179.98,25775,true,HKG,Asia Pacific,Hong Kong,73 ms,18588 kB/s
101.42.10.90,443,true,HKG,Asia Pacific,Hong Kong,75 ms,18271 kB/s
211.72.156.10,23555,true,KHH,Asia Pacific,Kaohsiung City,73 ms,17825 kB/s
47.76.227.128,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,16550 kB/s
211.75.223.83,23555,true,KHH,Asia Pacific,Kaohsiung City,77 ms,16482 kB/s
101.42.29.143,443,true,HKG,Asia Pacific,Hong Kong,75 ms,15769 kB/s
45.78.48.120,29853,true,KIX,Asia Pacific,Osaka,72 ms,15333 kB/s
211.72.156.11,23555,true,KHH,Asia Pacific,Kaohsiung City,95 ms,14956 kB/s
140.143.217.136,443,true,HKG,Asia Pacific,Hong Kong,82 ms,13759 kB/s
172.84.92.108,42304,true,NRT,Asia Pacific,Tokyo,71 ms,13739 kB/s
150.66.24.104,34237,true,KIX,Asia Pacific,Osaka,81 ms,13252 kB/s
43.153.103.203,443,true,SJC,North America,San Jose,167 ms,12333 kB/s
203.69.248.40,27381,true,KHH,Asia Pacific,Kaohsiung City,84 ms,12099 kB/s
154.197.121.127,8443,true,SJC,North America,San Jose,176 ms,12075 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,181 ms,11782 kB/s
154.197.121.253,8443,true,SJC,North America,San Jose,173 ms,11770 kB/s
162.159.58.157,2053,true,SJC,North America,San Jose,181 ms,11672 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,183 ms,11560 kB/s
38.59.240.180,32431,true,SJC,North America,San Jose,173 ms,11430 kB/s
67.230.173.106,21006,true,LAX,North America,Los Angeles,166 ms,11085 kB/s
211.72.156.17,23555,true,KHH,Asia Pacific,Kaohsiung City,90 ms,11023 kB/s
162.159.142.252,2096,true,SJC,North America,San Jose,183 ms,10999 kB/s
38.147.188.86,8003,true,KUL,Asia Pacific,Kuala Lumpur,60 ms,10793 kB/s
185.148.14.231,19924,true,SJC,North America,San Jose,198 ms,10464 kB/s
43.153.80.208,443,true,SJC,North America,San Jose,159 ms,10218 kB/s
185.218.6.209,19242,true,SJC,North America,San Jose,190 ms,10125 kB/s
37.123.193.187,144,true,SJC,North America,San Jose,183 ms,9634 kB/s
193.110.201.23,443,true,HKG,Asia Pacific,Hong Kong,110 ms,9489 kB/s
146.56.42.31,48652,true,HKG,Asia Pacific,Hong Kong,71 ms,9275 kB/s
