IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.253.69,443,443,true,FRA,Europe,Frankfurt,176,8.34
34.66.72.229,443,443,true,ORD,North America,Chicago,206,8.33
35.234.105.217,443,443,true,FRA,Europe,Frankfurt,172,8.33
34.107.84.147,443,443,true,FRA,Europe,Frankfurt,168,8.33
34.65.8.62,443,443,true,FRA,Europe,Frankfurt,176,8.31
34.90.88.12,443,443,true,FRA,Europe,Frankfurt,178,8.30
34.86.193.161,443,443,true,IAD,North America,Ashburn,216,8.29
35.204.106.202,443,443,true,FRA,Europe,Frankfurt,175,8.29
34.154.94.196,443,443,true,FRA,Europe,Frankfurt,176,8.27
34.118.16.200,443,443,true,FRA,Europe,Frankfurt,192,8.26
34.116.192.44,443,443,true,FRA,Europe,Frankfurt,261,8.26
34.32.153.28,443,443,true,FRA,Europe,Frankfurt,182,8.26
35.199.37.84,443,443,true,IAD,North America,Ashburn,212,8.24
34.65.4.115,443,443,true,FRA,Europe,Frankfurt,173,8.23
35.234.105.116,443,443,true,FRA,Europe,Frankfurt,159,8.23
34.107.110.42,443,443,true,FRA,Europe,Frankfurt,160,8.21
34.91.174.166,443,443,true,FRA,Europe,Frankfurt,198,8.21
34.65.244.133,443,443,true,FRA,Europe,Frankfurt,172,8.19
34.118.87.116,443,443,true,FRA,Europe,Frankfurt,224,8.18
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,166,8.17
34.34.109.59,443,443,true,FRA,Europe,Frankfurt,173,8.17
34.118.126.43,443,443,true,FRA,Europe,Frankfurt,191,8.17
34.34.59.217,443,443,true,FRA,Europe,Frankfurt,173,8.14
34.118.126.46,443,443,true,FRA,Europe,Frankfurt,213,8.14
34.34.41.100,443,443,true,FRA,Europe,Frankfurt,175,8.13
35.186.170.241,443,443,true,IAD,North America,Ashburn,213,8.13
34.90.154.70,443,443,true,FRA,Europe,Frankfurt,175,8.11
34.91.96.102,443,443,true,FRA,Europe,Frankfurt,183,8.11
34.89.237.229,443,443,true,FRA,Europe,Frankfurt,171,8.09
34.116.249.57,443,443,true,FRA,Europe,Frankfurt,258,8.08
34.91.119.173,443,443,true,FRA,Europe,Frankfurt,175,8.07
34.116.188.200,443,443,true,FRA,Europe,Frankfurt,193,8.07
34.65.113.143,443,443,true,FRA,Europe,Frankfurt,173,8.07
35.234.72.36,443,443,true,FRA,Europe,Frankfurt,166,8.06
34.154.6.72,443,443,true,FRA,Europe,Frankfurt,182,8.06
34.116.228.154,443,443,true,FRA,Europe,Frankfurt,285,8.05
34.107.24.217,443,443,true,FRA,Europe,Frankfurt,155,8.04
34.154.237.161,443,443,true,FRA,Europe,Frankfurt,198,8.04
34.116.212.164,443,443,true,FRA,Europe,Frankfurt,189,8.03
34.32.178.41,443,443,true,FRA,Europe,Frankfurt,178,8.03
34.154.134.186,443,443,true,FRA,Europe,Frankfurt,176,8.02
34.90.103.92,443,443,true,FRA,Europe,Frankfurt,179,8.01
34.107.101.123,443,443,true,FRA,Europe,Frankfurt,278,8.01
34.91.119.173,443,443,true,FRA,Europe,Frankfurt,176,7.98
34.148.187.247,443,443,true,ATL,North America,Atlanta,221,7.96
34.65.134.74,443,443,true,FRA,Europe,Frankfurt,175,7.94
34.90.142.71,443,443,true,FRA,Europe,Frankfurt,185,7.94
34.118.110.56,443,443,true,FRA,Europe,Frankfurt,205,7.93
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,170,7.92
34.65.199.212,443,443,true,FRA,Europe,Frankfurt,171,7.89
34.32.205.67,443,443,true,FRA,Europe,Frankfurt,177,7.88
34.65.253.213,443,443,true,FRA,Europe,Frankfurt,171,7.87
34.90.145.105,443,443,true,FRA,Europe,Frankfurt,178,7.85
34.90.182.145,443,443,true,FRA,Europe,Frankfurt,178,7.84
