IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.226.129.107,443,443,true,FRA,Europe,Frankfurt,182,9.17
143.47.252.59,443,443,true,FRA,Europe,Frankfurt,178,9.14
130.162.49.74,443,443,true,FRA,Europe,Frankfurt,164,9.13
130.162.136.114,443,443,true,SIN,Asia Pacific,Singapore,210,9.13
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,180,9.11
158.180.16.246,443,443,true,FRA,Europe,Frankfurt,167,9.08
79.72.75.249,443,443,true,FRA,Europe,Frankfurt,239,9.06
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,192,9.03
150.230.144.120,443,443,true,FRA,Europe,Frankfurt,217,9.03
192.9.137.193,8443,443,true,SJC,North America,San Jose,190,9.01
141.148.228.223,443,443,true,FRA,Europe,Frankfurt,186,9.00
144.21.42.104,443,443,true,FRA,Europe,Frankfurt,169,9.00
84.235.167.187,443,443,true,FRA,Europe,Frankfurt,170,8.97
129.146.111.62,443,443,true,LAX,North America,Los Angeles,192,8.96
130.162.255.32,443,443,true,FRA,Europe,Frankfurt,165,8.95
152.70.85.165,2083,443,true,KIX,Asia Pacific,Osaka,77,8.94
129.154.192.218,443,443,true,SIN,Asia Pacific,Singapore,206,8.94
158.178.146.103,443,443,true,FRA,Europe,Frankfurt,173,8.94
141.144.242.114,443,443,true,FRA,Europe,Frankfurt,169,8.91
158.180.49.166,443,443,true,FRA,Europe,Frankfurt,192,8.89
89.168.118.251,443,443,true,FRA,Europe,Frankfurt,189,8.89
144.21.40.45,443,443,true,FRA,Europe,Frankfurt,199,8.86
158.178.154.31,443,443,true,FRA,Europe,Frankfurt,176,8.83
158.179.206.143,443,443,true,ARN,Europe,Stockholm,217,8.81
144.21.51.107,443,443,true,FRA,Europe,Frankfurt,187,8.78
141.147.42.127,443,443,true,FRA,Europe,Frankfurt,182,8.74
141.144.228.58,443,443,true,FRA,Europe,Frankfurt,180,8.66
132.145.234.86,443,443,true,FRA,Europe,Frankfurt,173,8.61
130.162.173.15,443,443,true,FRA,Europe,Frankfurt,176,8.57
141.147.112.219,443,443,true,FRA,Europe,Frankfurt,178,8.55
64.110.82.198,443,443,true,SIN,Asia Pacific,Singapore,204,8.51
79.72.92.202,443,443,true,FRA,Europe,Frankfurt,229,8.48
152.67.150.185,443,443,true,FRA,Europe,Frankfurt,201,8.43
158.180.51.28,443,443,true,FRA,Europe,Frankfurt,187,8.42
158.180.27.200,443,443,true,FRA,Europe,Frankfurt,180,8.42
141.147.103.251,443,443,true,FRA,Europe,Frankfurt,177,8.41
193.123.36.106,443,443,true,FRA,Europe,Frankfurt,183,8.38
193.122.7.220,443,443,true,FRA,Europe,Frankfurt,170,8.35
141.147.111.62,443,443,true,FRA,Europe,Frankfurt,175,8.32
146.56.167.96,443,443,true,SIN,Asia Pacific,Singapore,228,8.32
138.2.170.88,443,443,true,FRA,Europe,Frankfurt,199,8.27
84.235.168.36,443,443,true,FRA,Europe,Frankfurt,176,8.26
141.147.118.54,443,443,true,FRA,Europe,Frankfurt,208,8.22
129.154.209.42,443,443,true,SIN,Asia Pacific,Singapore,215,8.22
89.168.80.50,443,443,true,FRA,Europe,Frankfurt,192,8.20
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,169,8.12
79.72.75.229,443,443,true,FRA,Europe,Frankfurt,236,8.11
130.61.10.153,443,443,true,FRA,Europe,Frankfurt,175,8.09
130.162.163.232,443,443,true,FRA,Europe,Frankfurt,197,8.08
130.162.57.252,443,443,true,FRA,Europe,Frankfurt,189,8.07
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,191,8.04
144.21.40.180,443,443,true,FRA,Europe,Frankfurt,173,7.92
129.154.212.252,443,443,true,SIN,Asia Pacific,Singapore,219,7.87
132.226.133.219,443,443,true,FRA,Europe,Frankfurt,199,7.86
79.72.73.131,443,443,true,FRA,Europe,Frankfurt,218,7.85
141.145.206.16,8443,443,true,CDG,Europe,Paris,154,7.85
158.101.223.54,443,443,true,FRA,Europe,Frankfurt,180,7.84
138.2.129.179,443,443,true,FRA,Europe,Frankfurt,224,7.82
158.180.17.61,443,443,true,FRA,Europe,Frankfurt,165,7.81
84.8.147.86,443,443,true,FRA,Europe,Frankfurt,242,7.72
132.226.134.130,443,443,true,FRA,Europe,Frankfurt,160,7.69
143.47.231.130,443,443,true,FRA,Europe,Frankfurt,160,7.66
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,223,7.65
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,226,7.64
141.147.80.253,443,443,true,FRA,Europe,Frankfurt,197,7.60
144.21.54.222,443,443,true,FRA,Europe,Frankfurt,175,7.58
141.147.64.103,443,443,true,FRA,Europe,Frankfurt,175,7.54
141.148.237.190,443,443,true,FRA,Europe,Frankfurt,192,7.48
164.152.26.70,2052,443,true,ORD,North America,Chicago,219,7.45
158.101.220.95,443,443,true,FRA,Europe,Frankfurt,169,7.35
141.148.245.168,443,443,true,FRA,Europe,Frankfurt,193,7.30
141.147.100.129,443,443,true,FRA,Europe,Frankfurt,176,7.29
138.2.139.140,443,443,true,FRA,Europe,Frankfurt,178,7.29
40.233.70.7,8443,443,true,YYZ,North America,Toronto,234,7.28
140.238.81.146,443,443,true,FRA,Europe,Frankfurt,204,7.20
143.47.231.75,443,443,true,FRA,Europe,Frankfurt,177,7.19
152.67.151.76,443,443,true,FRA,Europe,Frankfurt,171,7.19
140.238.81.146,443,443,true,FRA,Europe,Frankfurt,182,7.15
84.235.164.235,443,443,true,FRA,Europe,Frankfurt,192,7.12
150.230.20.74,443,443,true,FRA,Europe,Frankfurt,171,7.01
141.148.232.237,443,443,true,FRA,Europe,Frankfurt,183,6.94
164.152.26.70,2086,443,true,ORD,North America,Chicago,216,6.89
141.147.113.66,443,443,true,FRA,Europe,Frankfurt,159,6.86
129.80.237.223,8443,443,true,IAD,North America,Ashburn,236,6.76
129.146.248.140,443,443,true,LAX,North America,Los Angeles,229,6.73
141.147.111.190,443,443,true,FRA,Europe,Frankfurt,175,6.70
168.138.163.239,2096,2096,true,SIN,Asia Pacific,Singapore,1,6.68
