IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.224.66.226,2053,443,true,AMS,Europe,Amsterdam,262,2.00
94.103.124.195,443,443,true,AMS,Europe,Amsterdam,281,1.63
95.164.62.152,443,443,true,AMS,Europe,Amsterdam,260,1.49
109.234.34.182,443,443,true,AMS,Europe,Amsterdam,220,0.20
77.238.229.221,443,443,true,AMS,Europe,Amsterdam,230,0.15
45.81.227.122,443,443,true,AMS,Europe,Amsterdam,256,0.11
89.110.69.166,443,443,true,AMS,Europe,Amsterdam,315,0.09
192.236.249.101,443,443,true,AMS,Europe,Amsterdam,328,0.07
92.118.169.17,443,443,true,AMS,Europe,Amsterdam,215,0.06
37.252.15.119,443,443,true,AMS,Europe,Amsterdam,452,0.04
194.147.33.13,443,443,true,AMS,Europe,Amsterdam,234,0.04
147.45.72.18,443,443,true,AMS,Europe,Amsterdam,326,0.04
150.230.20.156,8443,443,true,AMS,Europe,Amsterdam,323,0.03
192.236.249.104,443,443,true,AMS,Europe,Amsterdam,300,0.03
192.236.249.93,443,443,true,AMS,Europe,Amsterdam,290,0.02
185.204.52.112,443,443,true,AMS,Europe,Amsterdam,402,0.02
192.236.249.102,443,443,true,AMS,Europe,Amsterdam,272,0.02
94.103.9.189,443,443,true,AMS,Europe,Amsterdam,389,0.02
208.67.105.2,443,443,true,AMS,Europe,Amsterdam,341,0.01
185.192.246.166,443,443,true,AMS,Europe,Amsterdam,267,0.01
207.174.30.146,443,443,true,AMS,Europe,Amsterdam,400,0.01
209.182.102.10,443,443,true,AMS,Europe,Amsterdam,329,0.01
77.238.225.201,443,443,true,AMS,Europe,Amsterdam,335,0.00
77.238.229.2,443,443,true,AMS,Europe,Amsterdam,245,0.00
104.40.244.228,443,443,true,AMS,Europe,Amsterdam,272,0.00
212.113.106.225,443,443,true,AMS,Europe,Amsterdam,320,0.00
195.58.50.126,443,443,true,AMS,Europe,Amsterdam,250,0.00
188.116.21.35,443,443,true,AMS,Europe,Amsterdam,445,0.00
94.142.137.84,443,443,true,AMS,Europe,Amsterdam,371,0.00
194.87.191.104,443,443,true,AMS,Europe,Amsterdam,246,0.00
