IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.18.235,80,80,false,HKG,Asia Pacific,Hong Kong,465,5.91
47.76.204.76,80,0,false,HKG,Asia Pacific,Hong Kong,257,5.67
8.217.149.28,80,80,false,HKG,Asia Pacific,Hong Kong,471,5.59
8.210.174.156,80,0,false,HKG,Asia Pacific,Hong Kong,284,5.01
47.242.176.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,213,4.79
8.217.193.25,2086,0,false,HKG,Asia Pacific,Hong Kong,242,4.15
8.218.122.55,2086,2086,false,HKG,Asia Pacific,Hong Kong,862,3.77
47.242.176.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,833,3.76
8.217.221.165,2086,0,false,HKG,Asia Pacific,Hong Kong,248,3.56
8.218.65.237,2082,2082,false,HKG,Asia Pacific,Hong Kong,238,3.12
8.218.52.115,2086,2086,false,HKG,Asia Pacific,Hong Kong,844,3.04
8.218.2.181,2082,2082,false,HKG,Asia Pacific,Hong Kong,468,3.02
8.217.248.220,8080,8080,false,HKG,Asia Pacific,Hong Kong,824,2.94
8.218.181.189,2082,0,false,HKG,Asia Pacific,Hong Kong,253,2.65
47.243.183.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,831,2.31
8.217.85.14,2086,0,false,HKG,Asia Pacific,Hong Kong,241,2.13
47.242.79.71,8880,8880,false,HKG,Asia Pacific,Hong Kong,462,1.97
8.210.3.24,8080,8080,false,HKG,Asia Pacific,Hong Kong,237,1.93
8.218.8.142,8880,8880,false,HKG,Asia Pacific,Hong Kong,234,1.92
47.243.203.119,8080,0,false,HKG,Asia Pacific,Hong Kong,219,1.86
8.217.193.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,834,1.81
8.218.122.55,2095,2095,false,HKG,Asia Pacific,Hong Kong,651,1.69
47.242.234.127,2052,0,false,HKG,Asia Pacific,Hong Kong,282,1.58
8.218.181.189,8080,8080,false,HKG,Asia Pacific,Hong Kong,463,1.54
47.243.74.220,2082,0,false,HKG,Asia Pacific,Hong Kong,222,1.48
47.238.6.102,8880,8880,false,HKG,Asia Pacific,Hong Kong,216,1.45
8.218.11.90,8080,8080,false,HKG,Asia Pacific,Hong Kong,657,1.45
47.242.54.157,8080,8080,false,HKG,Asia Pacific,Hong Kong,836,1.45
47.243.139.243,2095,2095,false,HKG,Asia Pacific,Hong Kong,843,1.44
8.218.204.128,2082,2082,false,HKG,Asia Pacific,Hong Kong,845,1.37
8.217.91.121,80,0,false,HKG,Asia Pacific,Hong Kong,259,1.33
47.243.183.127,2082,0,false,HKG,Asia Pacific,Hong Kong,228,1.30
8.210.65.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,835,1.29
47.242.202.230,8880,8880,false,HKG,Asia Pacific,Hong Kong,874,1.24
8.210.107.246,2086,0,false,HKG,Asia Pacific,Hong Kong,269,1.24
8.217.221.165,80,80,false,HKG,Asia Pacific,Hong Kong,994,1.21
8.218.146.204,2086,2086,false,HKG,Asia Pacific,Hong Kong,285,1.18
8.210.207.214,8880,0,false,HKG,Asia Pacific,Hong Kong,221,1.17
8.218.2.181,2095,2095,false,HKG,Asia Pacific,Hong Kong,827,1.17
8.218.142.253,2052,2052,false,HKG,Asia Pacific,Hong Kong,464,1.16
8.217.91.121,2095,2095,false,HKG,Asia Pacific,Hong Kong,229,1.16
8.210.156.6,2052,2052,false,HKG,Asia Pacific,Hong Kong,831,1.10
8.210.34.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,837,1.10
47.242.202.230,2052,2052,false,HKG,Asia Pacific,Hong Kong,829,1.10
8.217.49.34,2052,2052,false,HKG,Asia Pacific,Hong Kong,653,1.09
8.210.21.65,8880,0,false,HKG,Asia Pacific,Hong Kong,259,1.07
47.243.91.58,8880,8880,false,HKG,Asia Pacific,Hong Kong,830,1.03
47.243.203.119,2095,2095,false,HKG,Asia Pacific,Hong Kong,841,1.01
47.242.157.96,8080,8080,false,HKG,Asia Pacific,Hong Kong,462,1.00
8.210.65.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,462,1.00
47.242.157.96,2095,2095,false,HKG,Asia Pacific,Hong Kong,845,0.98
8.218.181.189,2052,0,false,HKG,Asia Pacific,Hong Kong,229,0.93
47.242.171.94,2086,0,false,HKG,Asia Pacific,Hong Kong,213,0.87
8.210.119.11,2095,2095,false,HKG,Asia Pacific,Hong Kong,287,0.82
8.217.145.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,656,0.82
8.218.11.90,2082,0,false,HKG,Asia Pacific,Hong Kong,227,0.82
8.218.201.73,2052,2052,false,HKG,Asia Pacific,Hong Kong,841,0.81
8.218.11.90,2086,0,false,HKG,Asia Pacific,Hong Kong,280,0.81
47.76.159.146,80,80,false,HKG,Asia Pacific,Hong Kong,873,0.80
47.243.107.148,8080,8080,false,HKG,Asia Pacific,Hong Kong,847,0.79
47.76.204.76,8080,8080,false,HKG,Asia Pacific,Hong Kong,832,0.78
8.210.3.24,2082,0,false,HKG,Asia Pacific,Hong Kong,275,0.78
47.242.234.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,271,0.78
47.242.252.237,80,0,false,HKG,Asia Pacific,Hong Kong,281,0.78
8.217.164.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,234,0.77
8.218.243.95,2082,0,false,HKG,Asia Pacific,Hong Kong,224,0.76
8.217.127.73,2086,2086,false,HKG,Asia Pacific,Hong Kong,831,0.73
8.210.192.93,2095,0,false,HKG,Asia Pacific,Hong Kong,284,0.73
8.210.101.157,8080,8080,false,HKG,Asia Pacific,Hong Kong,836,0.73
8.217.248.220,2082,0,false,HKG,Asia Pacific,Hong Kong,267,0.73
8.210.174.156,2052,0,false,HKG,Asia Pacific,Hong Kong,281,0.71
8.210.39.96,2095,0,false,HKG,Asia Pacific,Hong Kong,247,0.71
47.243.206.150,80,80,false,HKG,Asia Pacific,Hong Kong,833,0.69
47.76.49.246,2095,0,false,HKG,Asia Pacific,Hong Kong,245,0.64
8.217.221.165,2095,0,false,HKG,Asia Pacific,Hong Kong,272,0.64
8.210.21.65,2052,2052,false,HKG,Asia Pacific,Hong Kong,282,0.63
8.210.156.6,8880,8880,false,HKG,Asia Pacific,Hong Kong,650,0.63
8.217.91.121,8880,0,false,HKG,Asia Pacific,Hong Kong,276,0.62
8.218.243.95,80,80,false,HKG,Asia Pacific,Hong Kong,831,0.62
8.218.222.36,2095,2095,false,HKG,Asia Pacific,Hong Kong,467,0.61
47.76.204.76,2086,0,false,HKG,Asia Pacific,Hong Kong,281,0.59
8.210.9.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,848,0.59
8.218.146.204,2082,0,false,HKG,Asia Pacific,Hong Kong,275,0.58
47.243.203.119,2086,2086,false,HKG,Asia Pacific,Hong Kong,212,0.58
47.243.60.150,2082,2082,false,HKG,Asia Pacific,Hong Kong,653,0.58
8.218.143.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,659,0.56
8.217.145.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,475,0.56
47.242.252.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,215,0.56
47.243.139.243,80,0,false,HKG,Asia Pacific,Hong Kong,224,0.56
8.218.11.90,2052,2052,false,HKG,Asia Pacific,Hong Kong,477,0.54
47.242.54.157,80,0,false,HKG,Asia Pacific,Hong Kong,256,0.54
43.155.22.176,80,0,false,HKG,Asia Pacific,Hong Kong,256,0.51
47.242.59.216,80,0,false,HKG,Asia Pacific,Hong Kong,242,0.51
47.76.146.1,2086,0,false,HKG,Asia Pacific,Hong Kong,250,0.50
8.217.145.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,282,0.50
47.243.107.148,8880,8880,false,HKG,Asia Pacific,Hong Kong,469,0.49
8.217.232.246,8880,8880,false,HKG,Asia Pacific,Hong Kong,467,0.49
47.76.146.1,2095,0,false,HKG,Asia Pacific,Hong Kong,225,0.48
47.76.159.146,2095,0,false,HKG,Asia Pacific,Hong Kong,222,0.48
47.242.17.250,8880,8880,false,HKG,Asia Pacific,Hong Kong,842,0.48
8.217.250.222,8880,0,false,HKG,Asia Pacific,Hong Kong,245,0.48
47.76.159.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,219,0.46
47.76.37.57,2086,0,false,HKG,Asia Pacific,Hong Kong,239,0.46
47.76.32.108,2086,0,false,HKG,Asia Pacific,Hong Kong,243,0.45
47.76.159.146,2052,0,false,HKG,Asia Pacific,Hong Kong,270,0.45
8.218.53.110,2086,0,false,HKG,Asia Pacific,Hong Kong,279,0.44
47.238.6.102,2086,2086,false,HKG,Asia Pacific,Hong Kong,472,0.43
47.243.27.217,2052,2052,false,HKG,Asia Pacific,Hong Kong,267,0.43
8.218.143.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,478,0.42
8.218.3.12,2095,0,false,HKG,Asia Pacific,Hong Kong,259,0.42
47.242.36.78,8880,0,false,HKG,Asia Pacific,Hong Kong,278,0.42
47.243.91.58,2052,2052,false,HKG,Asia Pacific,Hong Kong,479,0.41
8.210.21.65,2086,0,false,HKG,Asia Pacific,Hong Kong,261,0.40
8.218.81.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,478,0.38
47.242.252.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,465,0.38
47.76.37.57,8080,8080,false,HKG,Asia Pacific,Hong Kong,849,0.37
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,838,0.36
8.217.49.34,2082,2082,false,HKG,Asia Pacific,Hong Kong,236,0.35
8.218.65.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,463,0.35
8.210.107.246,2095,0,false,HKG,Asia Pacific,Hong Kong,250,0.32
47.242.202.230,2086,0,false,HKG,Asia Pacific,Hong Kong,218,0.31
47.242.36.78,2082,2082,false,HKG,Asia Pacific,Hong Kong,273,0.28
8.218.1.163,2095,2095,false,HKG,Asia Pacific,Hong Kong,830,0.27
8.218.211.17,8880,8880,false,HKG,Asia Pacific,Hong Kong,240,0.26
8.217.49.34,8880,8880,false,HKG,Asia Pacific,Hong Kong,213,0.23
47.242.171.94,8080,0,false,HKG,Asia Pacific,Hong Kong,272,0.20
8.210.174.156,2082,0,false,HKG,Asia Pacific,Hong Kong,257,0.20
47.76.94.15,80,0,false,HKG,Asia Pacific,Hong Kong,655,0.20
47.242.252.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,463,0.20
183.232.159.172,2052,2086,false,HKG,Asia Pacific,Hong Kong,279,0.19
8.210.107.246,8880,0,false,HKG,Asia Pacific,Hong Kong,268,0.19
8.217.221.165,8880,8880,false,HKG,Asia Pacific,Hong Kong,477,0.19
47.76.37.57,2082,2082,false,HKG,Asia Pacific,Hong Kong,468,0.19
8.217.145.40,2052,0,false,HKG,Asia Pacific,Hong Kong,220,0.13
47.243.42.219,2082,0,false,HKG,Asia Pacific,Hong Kong,249,0.13
47.243.139.85,2095,2095,false,HKG,Asia Pacific,Hong Kong,472,0.12
47.243.90.180,8080,0,false,HKG,Asia Pacific,Hong Kong,254,0.11
47.243.90.180,2095,2095,false,HKG,Asia Pacific,Hong Kong,839,0.07
47.76.37.57,2095,2095,false,HKG,Asia Pacific,Hong Kong,875,0.06
47.243.90.180,8880,0,false,HKG,Asia Pacific,Hong Kong,263,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,469,0.00
8.210.9.129,80,0,false,HKG,Asia Pacific,Hong Kong,281,0.00
8.217.147.230,2095,2095,false,HKG,Asia Pacific,Hong Kong,904,0.00
8.217.164.10,2086,2086,false,HKG,Asia Pacific,Hong Kong,828,0.00
47.242.176.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,844,0.00
103.117.101.24,30809,0,false,HKG,Asia Pacific,Hong Kong,258,0.00
8.210.65.1,8880,8880,false,HKG,Asia Pacific,Hong Kong,465,0.00
8.217.164.10,8080,8080,false,HKG,Asia Pacific,Hong Kong,241,0.00
47.243.206.150,2095,2095,false,HKG,Asia Pacific,Hong Kong,238,0.00
8.218.122.55,8080,8080,false,HKG,Asia Pacific,Hong Kong,835,0.00
47.76.94.15,2082,2082,false,HKG,Asia Pacific,Hong Kong,849,0.00
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,846,0.00
47.243.91.58,2086,2086,false,HKG,Asia Pacific,Hong Kong,833,0.00
8.217.251.62,80,80,false,HKG,Asia Pacific,Hong Kong,459,0.00
8.218.143.10,8080,8080,false,HKG,Asia Pacific,Hong Kong,842,0.00
47.242.54.157,2082,2082,false,HKG,Asia Pacific,Hong Kong,843,0.00
8.210.192.93,8880,8880,false,HKG,Asia Pacific,Hong Kong,826,0.00
8.218.126.53,8080,8080,false,HKG,Asia Pacific,Hong Kong,459,0.00
