IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
64.110.80.201,2083,443,true,NRT,Asia Pacific,Tokyo,162,4.59
47.236.125.62,2053,2053,true,NRT,Asia Pacific,Tokyo,330,3.03
58.76.170.119,30054,443,true,ICN,Asia Pacific,Seoul,113,2.46
193.123.233.143,2096,80,false,NRT,Asia Pacific,Tokyo,341,2.11
210.87.195.139,26439,443,true,NRT,Asia Pacific,Tokyo,113,1.86
8.219.66.156,2052,2052,false,NRT,Asia Pacific,Tokyo,221,1.78
45.66.129.222,16538,443,true,NRT,Asia Pacific,Tokyo,164,1.76
8.219.66.156,8080,8080,false,KIX,Asia Pacific,Osaka,201,1.62
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,166,1.59
20.39.191.103,80,80,false,NRT,Asia Pacific,Tokyo,256,1.49
8.219.66.156,2095,2095,false,KIX,Asia Pacific,Osaka,260,1.48
8.219.66.156,2082,2082,false,NRT,Asia Pacific,Tokyo,194,1.47
20.39.191.103,443,443,true,NRT,Asia Pacific,Tokyo,200,1.39
140.238.12.52,8443,443,true,NRT,Asia Pacific,Tokyo,111,1.36
47.236.125.62,2083,2083,true,NRT,Asia Pacific,Tokyo,221,1.36
103.20.199.196,54678,443,true,NRT,Asia Pacific,Tokyo,137,1.19
103.20.199.101,33003,443,true,NRT,Asia Pacific,Tokyo,103,1.14
8.219.66.156,2087,2087,true,NRT,Asia Pacific,Tokyo,165,1.12
8.219.66.156,2096,2096,true,NRT,Asia Pacific,Tokyo,218,0.95
8.140.56.136,80,80,false,NRT,Asia Pacific,Tokyo,102,0.94
141.98.197.101,11665,443,true,NRT,Asia Pacific,Tokyo,141,0.89
8.219.153.237,8880,8880,false,NRT,Asia Pacific,Tokyo,273,0.88
8.219.153.237,2053,2053,true,KIX,Asia Pacific,Osaka,337,0.86
140.238.29.117,443,80,false,NRT,Asia Pacific,Tokyo,94,0.79
47.236.125.62,80,80,false,NRT,Asia Pacific,Tokyo,228,0.69
47.236.125.62,8443,8443,true,NRT,Asia Pacific,Tokyo,227,0.68
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,225,0.67
132.145.93.198,2083,2053,true,NRT,Asia Pacific,Tokyo,88,0.63
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,268,0.61
47.236.125.62,8080,8080,false,NRT,Asia Pacific,Tokyo,266,0.60
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,266,0.59
43.153.181.217,443,443,true,NRT,Asia Pacific,Tokyo,139,0.51
20.243.122.134,443,443,true,NRT,Asia Pacific,Tokyo,142,0.48
8.219.66.156,80,80,false,KIX,Asia Pacific,Osaka,221,0.43
172.207.125.150,443,443,true,NRT,Asia Pacific,Tokyo,194,0.42
54.249.135.43,443,443,true,NRT,Asia Pacific,Tokyo,139,0.42
45.159.51.218,25068,443,true,NRT,Asia Pacific,Tokyo,162,0.40
176.126.114.97,443,443,true,NRT,Asia Pacific,Tokyo,141,0.38
193.32.150.65,16870,443,true,NRT,Asia Pacific,Tokyo,162,0.35
8.219.153.237,2095,2095,false,NRT,Asia Pacific,Tokyo,272,0.35
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,113,0.35
47.236.125.62,2095,2095,false,KIX,Asia Pacific,Osaka,267,0.33
8.219.153.237,2096,2096,true,NRT,Asia Pacific,Tokyo,273,0.32
152.32.146.201,22284,443,true,NRT,Asia Pacific,Tokyo,140,0.32
59.187.245.232,14308,443,true,NRT,Asia Pacific,Tokyo,197,0.19
54.238.112.33,443,443,true,NRT,Asia Pacific,Tokyo,140,0.18
193.123.233.143,2083,80,false,NRT,Asia Pacific,Tokyo,343,0.18
8.220.223.223,443,443,true,ICN,Asia Pacific,Seoul,192,0.17
8.220.195.140,443,443,true,NRT,Asia Pacific,Tokyo,193,0.09
3.113.64.82,443,443,true,NRT,Asia Pacific,Tokyo,112,0.02
45.60.186.91,2052,2052,false,YVR,North America,Vancouver,419,0.01
59.187.242.236,11215,443,true,ICN,Asia Pacific,Seoul,141,0.00
101.36.113.25,58081,80,false,NRT,Asia Pacific,Tokyo,138,0.00
146.56.133.140,2083,80,false,NRT,Asia Pacific,Tokyo,334,0.00
59.187.242.236,27677,80,false,NRT,Asia Pacific,Tokyo,200,0.00
8.219.153.237,8080,8080,false,NRT,Asia Pacific,Tokyo,221,0.00
193.32.149.196,40809,80,false,NRT,Asia Pacific,Tokyo,112,0.00
47.236.125.62,2082,2082,false,NRT,Asia Pacific,Tokyo,270,0.00
158.179.176.224,8443,443,true,NRT,Asia Pacific,Tokyo,190,0.00
154.12.191.87,30810,80,false,NRT,Asia Pacific,Tokyo,88,0.00
