IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.122.55,2095,0,false,SIN,Asia Pacific,Singapore,527,4.31
8.219.0.162,2095,0,false,SIN,Asia Pacific,Singapore,253,3.74
8.222.165.117,2052,2052,false,SIN,Asia Pacific,Singapore,520,3.38
8.219.0.48,8880,8880,false,SIN,Asia Pacific,Singapore,513,3.37
8.222.208.38,2086,2086,false,SIN,Asia Pacific,Singapore,240,3.28
8.222.208.38,2095,2095,false,SIN,Asia Pacific,Singapore,907,3.05
8.222.160.176,2095,2095,false,SIN,Asia Pacific,Singapore,901,2.91
8.219.210.64,2052,2052,false,SIN,Asia Pacific,Singapore,941,2.91
47.236.118.216,8080,0,false,SIN,Asia Pacific,Singapore,526,2.44
8.219.86.200,2082,2082,false,SIN,Asia Pacific,Singapore,209,2.34
8.222.181.117,80,80,false,SIN,Asia Pacific,Singapore,208,2.19
47.236.169.15,2052,2052,false,SIN,Asia Pacific,Singapore,937,2.09
8.219.98.13,8080,0,false,SIN,Asia Pacific,Singapore,230,2.07
47.236.80.110,2086,0,false,SIN,Asia Pacific,Singapore,524,1.99
8.219.97.50,2095,2095,false,SIN,Asia Pacific,Singapore,213,1.84
8.219.51.211,2095,0,false,SIN,Asia Pacific,Singapore,253,1.75
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,940,1.75
47.236.172.71,8880,0,false,SIN,Asia Pacific,Singapore,510,1.73
8.219.93.5,2086,2086,false,SIN,Asia Pacific,Singapore,510,1.71
8.219.100.168,8080,0,false,SIN,Asia Pacific,Singapore,252,1.52
8.222.160.176,8880,0,false,SIN,Asia Pacific,Singapore,250,1.50
8.219.174.213,80,80,false,SIN,Asia Pacific,Singapore,504,1.40
8.219.78.188,8080,0,false,SIN,Asia Pacific,Singapore,243,1.37
8.219.107.135,2086,0,false,SIN,Asia Pacific,Singapore,245,1.35
8.219.117.198,2052,2052,false,SIN,Asia Pacific,Singapore,227,1.33
47.236.180.51,80,0,false,SIN,Asia Pacific,Singapore,241,1.32
8.222.184.198,2052,0,false,SIN,Asia Pacific,Singapore,524,1.30
8.219.6.150,2086,0,false,SIN,Asia Pacific,Singapore,236,1.24
8.219.110.81,2086,2086,false,SIN,Asia Pacific,Singapore,217,1.19
8.219.1.92,8880,0,false,SIN,Asia Pacific,Singapore,523,1.17
8.219.83.71,2082,2082,false,SIN,Asia Pacific,Singapore,899,1.14
8.219.49.65,2086,2086,false,SIN,Asia Pacific,Singapore,880,1.13
8.219.60.54,2052,2052,false,SIN,Asia Pacific,Singapore,861,1.11
8.219.113.232,8080,0,false,SIN,Asia Pacific,Singapore,229,1.11
47.236.237.90,8880,0,false,SIN,Asia Pacific,Singapore,527,1.10
8.219.99.169,2086,0,false,SIN,Asia Pacific,Singapore,245,1.07
8.222.156.242,2082,0,false,SIN,Asia Pacific,Singapore,250,1.03
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,213,0.99
47.236.172.71,2082,0,false,SIN,Asia Pacific,Singapore,530,0.95
8.219.104.37,2082,2082,false,SIN,Asia Pacific,Singapore,214,0.94
47.236.169.141,8080,8080,false,SIN,Asia Pacific,Singapore,936,0.94
47.236.172.71,80,0,false,SIN,Asia Pacific,Singapore,228,0.92
8.219.0.48,8080,8080,false,SIN,Asia Pacific,Singapore,884,0.92
8.219.199.220,80,0,false,SIN,Asia Pacific,Singapore,222,0.90
8.219.111.147,2095,0,false,SIN,Asia Pacific,Singapore,227,0.89
8.219.60.54,8880,8880,false,SIN,Asia Pacific,Singapore,516,0.87
47.236.75.152,80,0,false,SIN,Asia Pacific,Singapore,533,0.87
8.219.83.71,8080,0,false,SIN,Asia Pacific,Singapore,243,0.86
8.219.210.64,8880,8880,false,SIN,Asia Pacific,Singapore,220,0.85
8.222.208.38,8880,8880,false,SIN,Asia Pacific,Singapore,215,0.85
47.236.170.54,8880,0,false,SIN,Asia Pacific,Singapore,529,0.84
47.236.130.95,8880,0,false,SIN,Asia Pacific,Singapore,227,0.84
8.219.0.48,2095,0,false,SIN,Asia Pacific,Singapore,229,0.83
8.219.132.64,8080,8080,false,SIN,Asia Pacific,Singapore,255,0.82
47.236.169.164,80,0,false,SIN,Asia Pacific,Singapore,536,0.81
47.236.123.133,8880,0,false,SIN,Asia Pacific,Singapore,223,0.81
8.219.106.156,8880,8880,false,SIN,Asia Pacific,Singapore,504,0.80
8.219.97.50,8880,8880,false,SIN,Asia Pacific,Singapore,220,0.80
8.219.83.201,2052,2052,false,SIN,Asia Pacific,Singapore,910,0.80
8.219.86.200,2095,2095,false,SIN,Asia Pacific,Singapore,219,0.79
47.236.172.95,80,0,false,SIN,Asia Pacific,Singapore,525,0.77
47.236.149.107,8880,0,false,SIN,Asia Pacific,Singapore,246,0.76
8.219.0.48,2082,2082,false,SIN,Asia Pacific,Singapore,233,0.74
8.219.106.156,8080,8080,false,SIN,Asia Pacific,Singapore,896,0.73
8.219.93.5,2095,0,false,SIN,Asia Pacific,Singapore,528,0.73
47.236.166.131,8880,0,false,SIN,Asia Pacific,Singapore,231,0.73
47.236.165.25,8880,8880,false,SIN,Asia Pacific,Singapore,943,0.71
8.219.120.87,2082,2082,false,SIN,Asia Pacific,Singapore,870,0.71
8.222.144.50,8880,8880,false,SIN,Asia Pacific,Singapore,235,0.69
47.236.180.51,2086,2086,false,SIN,Asia Pacific,Singapore,888,0.69
8.219.122.55,2052,2052,false,SIN,Asia Pacific,Singapore,221,0.67
8.222.144.50,80,80,false,SIN,Asia Pacific,Singapore,514,0.67
47.236.87.246,2086,0,false,SIN,Asia Pacific,Singapore,536,0.65
47.236.97.90,2052,0,false,SIN,Asia Pacific,Singapore,235,0.64
47.236.5.223,8880,0,false,SIN,Asia Pacific,Singapore,507,0.64
47.236.169.141,2052,0,false,SIN,Asia Pacific,Singapore,527,0.63
47.236.166.131,8080,0,false,SIN,Asia Pacific,Singapore,240,0.62
8.222.208.38,80,80,false,SIN,Asia Pacific,Singapore,239,0.61
47.236.237.90,2095,0,false,SIN,Asia Pacific,Singapore,233,0.61
8.219.1.92,80,80,false,SIN,Asia Pacific,Singapore,232,0.58
8.222.146.222,2086,0,false,SIN,Asia Pacific,Singapore,256,0.56
47.236.169.141,2095,0,false,SIN,Asia Pacific,Singapore,247,0.54
47.236.150.13,2095,0,false,SIN,Asia Pacific,Singapore,238,0.54
47.237.95.146,2052,2052,false,SIN,Asia Pacific,Singapore,964,0.53
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,218,0.53
47.236.202.91,8880,0,false,SIN,Asia Pacific,Singapore,242,0.53
8.222.165.117,2082,2082,false,SIN,Asia Pacific,Singapore,511,0.53
47.236.169.141,2086,0,false,SIN,Asia Pacific,Singapore,227,0.52
8.222.184.198,2082,2082,false,SIN,Asia Pacific,Singapore,519,0.52
8.219.40.37,80,0,false,SIN,Asia Pacific,Singapore,522,0.52
8.219.51.211,80,80,false,SIN,Asia Pacific,Singapore,911,0.52
47.236.166.131,80,80,false,SIN,Asia Pacific,Singapore,252,0.52
8.222.165.117,80,80,false,SIN,Asia Pacific,Singapore,215,0.51
47.236.172.71,2086,0,false,SIN,Asia Pacific,Singapore,250,0.50
47.236.202.91,2082,0,false,SIN,Asia Pacific,Singapore,519,0.45
8.219.209.14,2052,2052,false,SIN,Asia Pacific,Singapore,218,0.44
8.222.144.50,2082,2082,false,SIN,Asia Pacific,Singapore,884,0.43
47.236.237.90,8080,0,false,SIN,Asia Pacific,Singapore,535,0.42
47.236.171.205,8880,8880,false,SIN,Asia Pacific,Singapore,904,0.42
8.219.98.13,2095,2095,false,SIN,Asia Pacific,Singapore,212,0.42
8.219.78.188,80,80,false,SIN,Asia Pacific,Singapore,212,0.41
47.236.121.23,2086,0,false,SIN,Asia Pacific,Singapore,508,0.41
8.219.110.81,2082,2082,false,SIN,Asia Pacific,Singapore,859,0.40
8.219.0.48,80,80,false,SIN,Asia Pacific,Singapore,211,0.39
47.237.95.140,2086,2086,false,SIN,Asia Pacific,Singapore,970,0.36
8.219.86.200,8880,0,false,SIN,Asia Pacific,Singapore,229,0.35
47.236.87.246,80,0,false,SIN,Asia Pacific,Singapore,514,0.34
47.236.169.164,2095,0,false,SIN,Asia Pacific,Singapore,534,0.32
47.236.205.188,2052,0,false,SIN,Asia Pacific,Singapore,522,0.31
8.219.49.65,2095,2095,false,SIN,Asia Pacific,Singapore,516,0.30
47.236.205.188,2086,0,false,SIN,Asia Pacific,Singapore,224,0.29
47.236.97.90,2095,0,false,SIN,Asia Pacific,Singapore,521,0.24
47.236.121.23,8080,0,false,SIN,Asia Pacific,Singapore,244,0.23
