IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
101.42.10.90,443,true,HKG,Asia Pacific,Hong Kong,79 ms,25952 kB/s
47.238.35.50,2053,true,HKG,Asia Pacific,Hong Kong,68 ms,22024 kB/s
47.238.0.114,2096,true,HKG,Asia Pacific,Hong Kong,70 ms,21914 kB/s
47.76.29.115,2096,true,HKG,Asia Pacific,Hong Kong,57 ms,21520 kB/s
47.76.29.115,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,21227 kB/s
101.42.29.143,443,true,HKG,Asia Pacific,Hong Kong,73 ms,19321 kB/s
60.249.89.74,23555,true,KHH,Asia Pacific,Kaohsiung City,81 ms,17588 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,17437 kB/s
211.75.223.83,23555,true,KHH,Asia Pacific,Kaohsiung City,86 ms,17427 kB/s
129.154.223.89,15800,true,NRT,Asia Pacific,Tokyo,76 ms,16995 kB/s
193.123.239.18,49248,true,NRT,Asia Pacific,Tokyo,68 ms,16985 kB/s
47.76.227.128,2083,true,HKG,Asia Pacific,Hong Kong,65 ms,16649 kB/s
47.57.14.238,4328,true,HKG,Asia Pacific,Hong Kong,79 ms,16447 kB/s
35.229.179.98,25775,true,TPE,Asia Pacific,Taipei,99 ms,16269 kB/s
211.72.156.11,23555,true,KHH,Asia Pacific,Kaohsiung City,73 ms,16143 kB/s
103.30.78.25,33914,true,HKG,Asia Pacific,Hong Kong,65 ms,15419 kB/s
140.238.12.52,8443,true,NRT,Asia Pacific,Tokyo,69 ms,14271 kB/s
47.76.192.24,8443,true,HKG,Asia Pacific,Hong Kong,69 ms,14006 kB/s
203.69.248.40,27381,true,KHH,Asia Pacific,Kaohsiung City,102 ms,13836 kB/s
140.143.217.136,443,true,HKG,Asia Pacific,Hong Kong,73 ms,13679 kB/s
152.70.245.66,12693,true,NRT,Asia Pacific,Tokyo,71 ms,13590 kB/s
152.70.239.134,34237,true,ICN,Asia Pacific,Seoul,81 ms,13182 kB/s
211.72.156.17,23555,true,KHH,Asia Pacific,Kaohsiung City,93 ms,12939 kB/s
43.153.80.208,443,true,SJC,North America,San Jose,186 ms,12759 kB/s
146.56.42.31,48652,true,HKG,Asia Pacific,Hong Kong,71 ms,12472 kB/s
43.153.103.203,443,true,SJC,North America,San Jose,185 ms,11777 kB/s
38.59.240.180,32431,true,SJC,North America,San Jose,166 ms,11766 kB/s
34.81.172.46,823,true,TPE,Asia Pacific,Taipei,84 ms,11626 kB/s
38.59.249.142,20657,true,SJC,North America,San Jose,166 ms,11614 kB/s
211.72.156.10,23555,true,KHH,Asia Pacific,Kaohsiung City,94 ms,11603 kB/s
140.238.1.158,443,true,HKG,Asia Pacific,Hong Kong,76 ms,11391 kB/s
154.197.121.253,8443,true,SJC,North America,San Jose,169 ms,11180 kB/s
38.147.188.86,8003,true,KUL,Asia Pacific,Kuala Lumpur,67 ms,11041 kB/s
154.197.121.127,8443,true,SJC,North America,San Jose,170 ms,10948 kB/s
146.56.171.182,11659,true,NRT,Asia Pacific,Tokyo,77 ms,10883 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,171 ms,10873 kB/s
185.218.6.209,19242,true,SJC,North America,San Jose,195 ms,10785 kB/s
132.145.91.226,15238,true,NRT,Asia Pacific,Tokyo,71 ms,10770 kB/s
65.75.194.96,23190,true,SJC,North America,San Jose,173 ms,10557 kB/s
38.59.240.180,47403,true,SJC,North America,San Jose,160 ms,10354 kB/s
37.123.193.187,144,true,SJC,North America,San Jose,184 ms,9553 kB/s
67.230.173.106,21006,true,LAX,North America,Los Angeles,164 ms,9501 kB/s
8.219.111.147,2083,true,SIN,Asia Pacific,Singapore,227 ms,9411 kB/s
8.219.111.147,2096,true,SIN,Asia Pacific,Singapore,218 ms,9365 kB/s
185.148.14.231,19924,true,SJC,North America,San Jose,180 ms,9161 kB/s
47.236.180.24,2083,true,SIN,Asia Pacific,Singapore,221 ms,9154 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,226 ms,9131 kB/s
47.237.121.38,2096,true,SIN,Asia Pacific,Singapore,219 ms,9006 kB/s
8.219.210.64,2087,true,SIN,Asia Pacific,Singapore,229 ms,8971 kB/s
47.236.80.110,8443,true,SIN,Asia Pacific,Singapore,232 ms,8963 kB/s
47.236.174.206,2083,true,SIN,Asia Pacific,Singapore,232 ms,8920 kB/s
47.236.145.85,2087,true,SIN,Asia Pacific,Singapore,233 ms,8904 kB/s
47.236.189.92,2053,true,SIN,Asia Pacific,Singapore,222 ms,8842 kB/s
8.219.237.250,2087,true,SIN,Asia Pacific,Singapore,232 ms,8797 kB/s
47.236.130.95,2096,true,SIN,Asia Pacific,Singapore,225 ms,8556 kB/s
47.237.125.8,8443,true,SIN,Asia Pacific,Singapore,220 ms,8461 kB/s
47.236.145.85,8443,true,SIN,Asia Pacific,Singapore,227 ms,8373 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,227 ms,8334 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,241 ms,8290 kB/s
47.236.75.152,2096,true,SIN,Asia Pacific,Singapore,233 ms,8231 kB/s
47.237.121.38,2053,true,SIN,Asia Pacific,Singapore,221 ms,8145 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,222 ms,8114 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,212 ms,8107 kB/s
8.219.124.227,2087,true,SIN,Asia Pacific,Singapore,219 ms,8101 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,235 ms,8065 kB/s
47.236.102.102,2096,true,SIN,Asia Pacific,Singapore,245 ms,7968 kB/s
47.236.232.148,8443,true,SIN,Asia Pacific,Singapore,224 ms,7886 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,228 ms,7814 kB/s
47.236.75.152,2053,true,SIN,Asia Pacific,Singapore,228 ms,7729 kB/s
47.237.83.20,2087,true,SIN,Asia Pacific,Singapore,228 ms,7691 kB/s
52.49.41.80,2053,true,DUB,Europe,Dublin,206 ms,7614 kB/s
47.236.232.148,2083,true,SIN,Asia Pacific,Singapore,217 ms,7364 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,175 ms,7080 kB/s
8.219.144.168,443,true,SIN,Asia Pacific,Singapore,245 ms,7029 kB/s
47.237.84.173,2053,true,SIN,Asia Pacific,Singapore,223 ms,6859 kB/s
202.81.235.17,443,true,HKG,Asia Pacific,Hong Kong,205 ms,5864 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,216 ms,5853 kB/s
162.159.142.252,2096,true,SJC,North America,San Jose,172 ms,5695 kB/s
51.91.215.11,8443,true,CDG,Europe,Paris,264 ms,5263 kB/s
13.231.236.95,2053,true,NRT,Asia Pacific,Tokyo,67 ms,4156 kB/s
150.109.94.144,8900,true,SIN,Asia Pacific,Singapore,100 ms,3768 kB/s
129.226.208.212,34237,true,SIN,Asia Pacific,Singapore,100 ms,3630 kB/s
43.134.166.213,10444,true,SIN,Asia Pacific,Singapore,111 ms,3590 kB/s
43.156.243.45,34237,true,SIN,Asia Pacific,Singapore,93 ms,3493 kB/s
192.9.165.253,20001,true,SYD,Oceania,Sydney,322 ms,3369 kB/s
