IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.238.40.58,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,26734 kB/s
47.76.227.128,2083,true,HKG,Asia Pacific,Hong Kong,72 ms,25724 kB/s
47.238.35.50,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,23688 kB/s
47.57.14.238,4328,true,HKG,Asia Pacific,Hong Kong,67 ms,20412 kB/s
60.249.89.74,23555,true,KHH,Asia Pacific,Kaohsiung City,97 ms,18621 kB/s
35.229.179.98,25775,true,TPE,Asia Pacific,Taipei,83 ms,18397 kB/s
47.238.0.114,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,18159 kB/s
47.76.192.24,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,17673 kB/s
211.72.156.10,23555,true,KHH,Asia Pacific,Kaohsiung City,100 ms,17649 kB/s
38.147.188.243,8001,true,TPE,Asia Pacific,Taipei,64 ms,17647 kB/s
211.72.156.11,23555,true,KHH,Asia Pacific,Kaohsiung City,89 ms,17084 kB/s
193.123.239.18,49248,true,NRT,Asia Pacific,Tokyo,57 ms,16619 kB/s
101.42.10.90,443,true,HKG,Asia Pacific,Hong Kong,74 ms,16533 kB/s
101.42.29.143,443,true,HKG,Asia Pacific,Hong Kong,76 ms,16043 kB/s
45.78.48.120,29853,true,KIX,Asia Pacific,Osaka,83 ms,15610 kB/s
150.66.24.104,34237,true,KIX,Asia Pacific,Osaka,80 ms,14911 kB/s
211.75.223.83,23555,true,KHH,Asia Pacific,Kaohsiung City,72 ms,14632 kB/s
140.143.217.136,443,true,HKG,Asia Pacific,Hong Kong,78 ms,13965 kB/s
132.145.91.226,15238,true,NRT,Asia Pacific,Tokyo,85 ms,12804 kB/s
203.69.248.40,27381,true,KHH,Asia Pacific,Kaohsiung City,85 ms,12759 kB/s
162.159.58.157,2053,true,SJC,North America,San Jose,172 ms,12068 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,174 ms,11994 kB/s
185.218.6.209,19242,true,SJC,North America,San Jose,180 ms,11651 kB/s
152.70.239.134,34237,true,ICN,Asia Pacific,Seoul,70 ms,11449 kB/s
65.75.194.96,23190,true,SJC,North America,San Jose,176 ms,11437 kB/s
43.153.80.208,443,true,SJC,North America,San Jose,196 ms,11168 kB/s
154.197.121.127,8443,true,SJC,North America,San Jose,192 ms,11097 kB/s
